"trait","estacao","h2_media","h2_025","h2_975"
"comp_mm","i18",0.413,0.131,0.746
"comp_mm","p18",0.237,0.086,0.482
"comp_mm","v19",0.324,0.112,0.644
"comp_mm","o19",0.483,0.183,0.8
"comp_mm","i19",0.37,0.147,0.678
"diam_mm","i18",0.452,0.138,0.8
"diam_mm","p18",0.272,0.091,0.568
"diam_mm","v19",0.37,0.115,0.748
"diam_mm","o19",0.507,0.171,0.844
"diam_mm","i19",0.376,0.137,0.704
"massa_fruto_g","i18",0.434,0.124,0.795
"massa_fruto_g","p18",0.281,0.085,0.599
"massa_fruto_g","v19",0.298,0.087,0.643
"massa_fruto_g","o19",0.452,0.198,0.74
"massa_fruto_g","i19",0.358,0.135,0.684
"rend_polpa_pct","i18",0.413,0.125,0.778
"rend_polpa_pct","p18",0.276,0.101,0.564
"rend_polpa_pct","v19",0.331,0.119,0.663
"rend_polpa_pct","o19",0.456,0.193,0.747
"rend_polpa_pct","i19",0.386,0.138,0.726
"esp_casca_mm","i18",0.328,0.087,0.726
"esp_casca_mm","p18",0.242,0.08,0.537
"esp_casca_mm","v19",0.407,0.126,0.815
"esp_casca_mm","o19",0.541,0.269,0.797
"esp_casca_mm","i19",0.457,0.176,0.768
"sst_brix","i18",0.329,0.095,0.694
"sst_brix","p18",0.409,0.174,0.688
"sst_brix","v19",0.421,0.166,0.739
"sst_brix","o19",0.394,0.162,0.702
"sst_brix","i19",0.358,0.138,0.671
"massa_polpa_g","i18",0.44,0.098,0.841
"massa_polpa_g","p18",0.306,0.097,0.635
"massa_polpa_g","v19",0.248,0.076,0.568
"massa_polpa_g","o19",0.449,0.197,0.728
"massa_polpa_g","i19",0.329,0.11,0.69
