"individuo","familia","cruzamento","IR_comercial","IR_res_sc","IR_estabilidade","IR_final","rank_final","rank_comercial","rank_resistencia","P_severo_media","estab_media","var_pred_medio"
"2","1","293 x 355",0.516,0.928,-0.633,1.267,1,3,14.5,0.048,12.827,56.626
"9","1","293 x 355",0.511,0.928,-0.263,1.244,2,4,14.5,0.048,10.283,57.335
"131","1","293 x 355",0.415,0.928,-0.25,1.233,3,7,14.5,0.048,10.265,54.107
"97","1","293 x 355",0.565,0.428,-0.032,1.216,4,1,41,0.048,8.789,55.812
"96","1","293 x 355",0.532,0.428,-0.425,1.102,5,2,41,0.048,11.351,56.662
"237","1","293 x 355",0.434,0.928,-0.103,1.083,6,5,14.5,0.048,8.679,58.239
"86","1","293 x 355",0.396,0.928,-0.141,1.025,7,11,14.5,0.048,9.322,58.053
"128","1","293 x 355",0.412,0.928,-0.997,1.002,8,9,14.5,0.048,15.922,58.216
"83","1","293 x 355",0.359,0.928,0.007,0.997,9,18,14.5,0.048,8.24,57.499
"222","1","293 x 355",0.368,0.928,-0.335,0.968,10,14,14.5,0.048,10.785,58.08
"221","1","293 x 355",0.332,0.928,-0.116,0.959,11,22,14.5,0.048,9.167,57.198
"4","1","293 x 355",0.258,0.928,0.203,0.945,12,32,14.5,0.048,6.406,55.179
"138","1","293 x 355",0.415,0.402,-0.501,0.92,13,8,43,0.049,9.447,56.045
"82","1","293 x 355",0.256,0.928,0.35,0.913,14,33,14.5,0.048,5.655,55.94
"18","1","293 x 355",0.319,0.928,-1.081,0.889,15,23,14.5,0.048,16.314,57.235
"232","1","293 x 355",0.278,0.928,-0.498,0.838,16,29,14.5,0.048,13.119,57.451
"235","1","293 x 355",0.334,0.928,-0.052,0.82,17,21,14.5,0.048,8.616,60.359
"100","1","293 x 355",0.368,0.928,-1.457,0.811,18,15,14.5,0.048,18.948,60.258
"130","1","293 x 355",0.242,0.928,-0.75,0.807,19,35,14.5,0.048,13.923,56.556
"223","1","293 x 355",0.399,-0.106,0.035,0.798,20,10,58.5,0.048,7.557,54.303
"3","1","293 x 355",0.176,0.928,-0.173,0.744,21,42,14.5,0.048,9.359,56.186
"12","1","293 x 355",0.284,0.928,-0.039,0.742,22,28,14.5,0.048,8.452,60.252
"95","1","293 x 355",0.261,0.428,-0.024,0.724,23,31,41,0.048,10.118,55.506
"10","1","293 x 355",0.237,0.928,0.263,0.718,24,36,14.5,0.048,6.209,59.421
"94","1","293 x 355",0.389,0.286,-0.011,0.681,25,12,45,0.048,8.365,59.857
"233","1","293 x 355",0.121,0.928,-0.042,0.67,26,47,14.5,0.048,9.212,55.91
"236","1","293 x 355",0.221,0.928,0.015,0.649,27,38,14.5,0.048,8.147,60.077
"89","1","293 x 355",0.183,0.928,-0.097,0.646,28,41,14.5,0.048,8.98,58.649
"98","1","293 x 355",0.154,0.928,-0.121,0.609,29,44,14.5,0.048,9.099,58.344
"84","1","293 x 355",0.139,0.928,0.061,0.581,30,45,14.5,0.048,7.8,58.619
"124","1","293 x 355",0.101,0.928,-0.114,0.549,31,50,14.5,0.048,8.781,57.756
"15","1","293 x 355",0.107,0.928,-0.198,0.486,32,49,14.5,0.048,9.776,59.255
"140","1","293 x 355",0.42,-0.556,-0.053,0.481,33,6,72,0.049,8.644,57.936
"122","1","293 x 355",0.384,-0.426,-0.02,0.452,34,13,64,0.048,8.708,58.456
"88","1","293 x 355",0.36,-0.497,-1.304,0.427,35,17,70,0.048,18.072,56.115
"91","1","293 x 355",0.301,0,-0.45,0.406,36,25,53,NA,11.661,59.657
"90","1","293 x 355",0.289,-0.106,-0.012,0.402,37,26,58.5,0.048,8.293,58.853
"87","1","293 x 355",0.287,0,-0.693,0.382,38,27,53,NA,13.583,59.404
"134","1","293 x 355",0.063,0.928,-0.032,0.368,39,54,14.5,0.048,8.505,60.394
"133","1","293 x 355",0.367,-0.355,-0.126,0.355,40,16,62.5,0.048,9.143,60.444
"11","1","293 x 355",0.354,-0.355,-0.205,0.348,41,19,62.5,0.048,9.798,60.034
"240","1","293 x 355",0.223,0,-0.296,0.332,42,37,53,NA,10.664,58.613
"16","1","293 x 355",0.255,0,-0.646,0.322,43,34,53,NA,13.135,59.611
"135","1","293 x 355",0.164,0.179,-0.018,0.32,44,43,47,0.048,8.39,58.6
"136","1","293 x 355",0.339,-0.497,-0.331,0.295,45,20,70,0.048,10.919,59.245
"17","1","293 x 355",0.313,-0.212,-0.04,0.275,46,24,60.5,0.048,8.552,61.568
"99","1","293 x 355",0.052,0.928,-0.024,0.274,47,55,14.5,0.048,8.284,62.04
"189","3","516 x 355",0.116,-1.147,4.537,0.128,48,48,82,0.117,2.794,54.466
"13","1","293 x 355",0.268,-0.497,-1.744,0.093,49,30,70,0.048,20.897,59.549
"132","1","293 x 355",0.131,-0.212,-1.493,0.032,50,46,60.5,0.048,19.005,58.659
"152","3","516 x 355",-0.035,0,0.656,0.005,51,62,53,NA,3.364,57.405
"81","1","293 x 355",-0.095,0.396,0.242,-0.02,52,64,44,0.049,6.448,58.747
"148","3","516 x 355",0.204,-0.646,0.842,-0.033,53,40,76,0.117,1.96,61.46
"149","3","516 x 355",-0.101,-0.646,1.042,-0.179,54,65,76,0.117,1.071,53.797
"34","2","501 x 355",-0.314,0.715,0.478,-0.202,55,72,34,0.057,5.305,57.807
"181","3","516 x 355",0.01,-0.646,0.662,-0.334,56,57,76,0.117,3.555,60.775
"212","2","501 x 355",-0.329,0.715,0.395,-0.361,57,73,34,0.057,5.321,60.622
"162","2","501 x 355",-0.422,0.176,0.706,-0.37,58,80,48,0.059,3.771,53.098
"167","2","501 x 355",-0.427,0.715,-0.564,-0.412,59,81,34,0.057,12.398,57.105
"172","2","501 x 355",-0.411,0.715,0.512,-0.424,60,78,34,0.057,4.172,59.12
"209","2","501 x 355",-0.333,0.715,0.078,-0.435,61,74,34,0.057,7.731,61.713
"110","3","516 x 355",0.22,-1.894,0.789,-0.454,62,39,91,0.117,2.3,60.295
"23","2","501 x 355",-0.441,0.715,0.527,-0.468,63,82,34,0.057,4.33,59.03
"43","3","516 x 355",0.051,-1.787,0.751,-0.508,64,56,88,0.117,1.952,56.241
"192","3","516 x 355",-0.135,-0.646,-0.884,-0.528,65,67,76,0.117,15.303,58.063
"118","3","516 x 355",0.083,-1.85,0.685,-0.604,66,52,90,0.119,3.179,58.866
"150","3","516 x 355",-0.003,-1.396,0.919,-0.606,67,58,84,0.117,1.533,60
"161","2","501 x 355",-0.262,-0.746,0.407,-0.647,68,70,81,0.057,5.146,56.584
"61","2","501 x 355",-0.34,0,0.348,-0.654,69,76,53,NA,5.68,60.297
"24","2","501 x 355",-0.543,0.715,-0.906,-0.697,70,87,34,0.057,14.704,58.755
"62","2","501 x 355",-0.611,0.715,0.207,-0.719,71,90,34,0.057,6.756,57.973
"210","2","501 x 355",-0.402,0.214,-1.186,-0.722,72,77,46,0.057,17.2,59.739
"29","2","501 x 355",-0.312,-0.426,0.391,-0.732,73,71,66.5,0.057,5.364,59.384
"70","2","501 x 355",-0.553,0.715,0.543,-0.761,74,88,34,0.057,4.323,61.342
"101","3","516 x 355",-0.024,-2.072,0.404,-0.823,75,59,93,0.117,5.147,57.511
"170","2","501 x 355",-0.42,0,-0.204,-0.834,76,79,53,NA,9.843,60.724
"51","3","516 x 355",-0.027,-1.609,0.471,-0.838,77,61,85.5,0.117,4.827,61.816
"208","2","501 x 355",-0.453,0,-0.438,-0.84,78,83,53,NA,7.818,59.431
"157","3","516 x 355",0.095,-2.536,0.748,-0.843,79,51,94,0.117,2.549,58.6
"76","2","501 x 355",-0.492,-0.426,0.242,-0.846,80,85,66.5,0.057,6.782,55.156
"115","3","516 x 355",-0.333,-0.646,0.912,-0.867,81,75,76,0.117,1.666,60.171
"185","3","516 x 355",-0.025,-1.787,0.343,-0.888,82,60,88,0.117,6.036,61.273
"55","3","516 x 355",0.077,-2.572,0.913,-0.898,83,53,95,0.117,2.488,58.993
"53","3","516 x 355",-0.055,-1.965,0.408,-1.007,84,63,92,0.117,3.447,61.307
"194","3","516 x 355",-0.237,-1.289,0.69,-1.014,85,68,83,0.117,3.107,61.028
"175","2","501 x 355",-0.804,0.715,0.151,-1.118,86,94,34,0.057,7.497,59.569
"32","2","501 x 355",-0.828,0.715,0.317,-1.142,87,95,34,0.057,5.117,59.4
"103","3","516 x 355",-0.106,-1.787,-0.337,-1.17,88,66,88,0.117,10.835,63.755
"178","2","501 x 355",-0.491,-0.426,-1.467,-1.195,89,84,66.5,0.057,19.217,60.903
"154","3","516 x 355",-0.245,-1.609,0.535,-1.198,90,69,85.5,0.117,3.281,61.823
"204","2","501 x 355",-0.584,-0.568,0.33,-1.22,91,89,73,0.057,5.741,58.818
"177","2","501 x 355",-0.516,-0.426,0.117,-1.266,92,86,66.5,0.057,7.975,63.272
"166","2","501 x 355",-0.648,0,-0.03,-1.319,93,91,53,NA,8.524,63.184
"201","2","501 x 355",-0.701,-0.711,0.253,-1.456,94,93,79.5,0.057,6.752,58.371
"22","2","501 x 355",-0.697,-0.711,-1.527,-1.684,95,92,79.5,0.057,19.749,61.537
