genotipo,linha,coluna
2,1,10
3,1,11
4,1,12
5,1,13
6,1,14
7,1,15
8,1,16
9,1,17
10,1,18
11,1,19
12,1,20
13,1,21
14,1,22
15,1,23
16,1,24
17,1,25
18,1,26
19,1,27
20,1,28
22,1,30
23,1,31
24,1,32
25,1,33
26,1,34
27,1,35
28,1,36
29,1,37
30,1,38
31,1,39
32,1,40
33,1,41
34,1,42
35,1,43
36,1,44
37,1,45
38,1,46
39,1,47
40,1,48
42,1,50
43,1,51
44,1,52
45,1,53
46,1,54
47,1,55
48,1,56
49,1,57
50,1,58
51,1,59
52,1,60
53,1,61
54,1,62
55,1,63
56,1,64
57,1,65
58,1,66
59,1,67
60,1,68
62,1,70
63,1,71
64,1,72
65,1,73
66,1,74
67,1,75
68,1,76
69,2,74
70,2,73
71,2,72
72,2,71
73,2,70
74,2,69
75,2,68
76,2,67
77,2,66
78,2,65
79,2,64
80,2,63
82,2,61
83,2,60
84,2,59
85,2,58
86,2,57
87,2,56
88,2,55
89,2,54
90,2,53
91,2,52
92,2,51
93,2,50
94,2,49
95,2,48
96,2,47
97,2,46
98,2,45
99,2,44
100,2,43
102,2,41
103,2,40
104,2,39
105,2,38
106,2,37
107,2,36
108,2,35
109,2,34
110,2,33
111,2,32
112,2,31
113,2,30
114,2,29
115,2,28
116,2,27
117,2,26
118,2,25
119,2,24
120,2,23
122,2,21
123,2,20
124,2,19
125,2,18
126,2,17
127,2,16
128,2,15
129,2,14
130,2,13
131,2,12
132,2,11
133,2,10
134,2,9
135,2,8
136,2,7
137,2,6
138,2,5
139,2,4
140,2,3
142,2,1
143,3,1
144,3,2
145,3,3
146,3,4
147,3,5
148,3,6
149,3,7
150,3,8
151,3,9
152,3,10
153,3,11
154,3,12
155,3,13
156,3,14
157,3,15
158,3,16
159,3,17
160,3,18
162,3,20
163,3,21
164,3,22
165,3,23
166,3,24
167,3,25
168,3,26
169,3,27
170,3,28
171,3,29
172,3,30
173,3,31
174,3,32
175,3,33
176,3,34
177,3,35
178,3,36
179,3,37
180,3,38
182,3,40
183,3,41
184,3,42
185,3,43
186,3,44
187,3,45
188,3,46
189,3,47
190,3,48
191,3,49
192,3,50
193,3,51
194,3,52
195,3,53
196,3,54
197,3,55
198,3,56
199,3,57
200,3,58
202,3,60
203,3,61
204,3,62
205,3,63
206,3,64
207,3,65
208,3,66
209,3,67
210,3,68
211,3,69
212,3,70
213,3,71
214,3,72
215,3,73
216,3,74
217,4,72
218,4,71
219,4,70
220,4,69
222,4,67
223,4,66
224,4,65
225,4,64
226,4,63
227,4,62
228,4,61
229,4,60
230,4,59
231,4,58
232,4,57
233,4,56
234,4,55
235,4,54
236,4,53
237,4,52
238,4,51
239,4,50
240,4,49
