"individuo","familia","IR_comercial","IR_res_sc","IR_est_sc","IR_final","obj1_com","obj2_res","P_severo_media","var_pred_medio"
"2",1,0.515819292775716,0.928304329650846,-0.632634824047356,1.26668971850973,0.499492999852701,0.928304329650846,0.0480437877668558,56.6261103566288
"9",1,0.510934084014439,0.928304329650846,-0.263330970823372,1.24441064389637,0.491696399277339,0.928304329650846,0.0480437877668558,57.3345059198762
"237",1,0.434137649070695,0.928304329650846,-0.102947071837268,1.08260510038518,0.414532956718495,0.928304329650846,0.0480437877668558,58.2394348713652
"131",1,0.414682688197661,0.928304329650846,-0.250126064228025,1.23288931603143,0.410799576505504,0.928304329650846,0.0480437877668558,54.1068456578285
"86",1,0.395857087601743,0.928304329650846,-0.141093321801392,1.02537093768492,0.378587277135928,0.928304329650846,0.0480437877668558,58.0530712263851
"83",1,0.359168648759754,0.928304329650846,0.00746053196169688,0.997057871042527,0.345151257625975,0.928304329650846,0.0480437877668558,57.498736479589
"221",1,0.331899529367405,0.928304329650846,-0.11592109715994,0.959204315151175,0.319783739026713,0.928304329650846,0.0480437877668558,57.198007571763
"4",1,0.258234699354321,0.928304329650846,0.203318795132994,0.945085545127763,0.253319142473321,0.928304329650846,0.0480437877668558,55.1789661082592
"82",1,0.255792807768233,0.928304329650846,0.350196361450812,0.913329494164645,0.249210436085695,0.928304329650846,0.0480437877668558,55.9402738231881
"97",1,0.565013716916111,0.428129453556513,-0.0316794081234024,1.2162366636648,0.551106057202812,0.428129453556513,0.0480437877668558,55.8120524897411
"95",1,0.261337373699104,0.428129453556513,-0.0242323766166625,0.723750046414254,0.255605308850194,0.428129453556513,0.0480437877668558,55.5064797754431
"94",1,0.389249377678316,0.285808092079656,-0.011370254961175,0.680861657593873,0.366616837595382,0.285808092079656,0.0480437877668558,59.8565139662205
"34",2,-0.313826393504385,0.714582989609338,0.478248328585286,-0.202470724811545,-0.300773989678888,0.714582989609338,0.0573354472575569,57.8067773320058
"172",2,-0.41126958134715,0.714582989609338,0.512492855724438,-0.423824368692765,-0.389762583220687,0.714582989609338,0.0573354472575569,59.119842466481
"23",2,-0.440918366607548,0.714582989609338,0.526509208423634,-0.46846033195164,-0.418180452948608,0.714582989609338,0.0573354472575569,59.029526886106
"223",1,0.39898341969681,-0.105575651981699,0.0349223489266772,0.798380059370141,0.394534438313844,-0.105575651981699,0.0480437877668558,54.3025520453996
"70",2,-0.552764992130858,0.714582989609338,0.542544933021464,-0.760762257003214,-0.514280945783415,0.714582989609338,0.0573354472575569,61.3423730683689
"152",3,-0.034573981044558,0,0.655532689248981,0.00517992655586427,-0.0332516986265056,0,NA,57.4052334984137
"162",2,-0.421607574952119,0.175950493417343,0.706378078142907,-0.369819161965428,-0.421607574952119,0.173418699646625,0.0590074146460302,53.098271038101
"148",3,0.203696704004731,-0.646447611492127,0.84202161922616,-0.0328528702133701,0.189334465973207,-0.646447611492127,0.116507043783214,61.4595003866967
"181",3,0.00972379244243568,-0.646447611492127,0.661591142491177,-0.334192836725593,0.00908891678872292,-0.646447611492127,0.116507043783214,60.7753523663713
"149",3,-0.100990395924746,-0.646447611492127,1.04240147201596,-0.178932331357782,-0.100332290793317,-0.646447611492127,0.116507043783214,53.7971257832208
"189",3,0.116424804226805,-1.14662248758646,4.53682252106379,0.127875392305103,0.114953796595386,-1.14662248758646,0.116507043783214,54.4659112374541
"110",3,0.219849937089495,-1.89380963533996,0.789448483257944,-0.45390303161511,0.206312169643505,-1.89380963533996,0.116507043783214,60.2952886862999
